epoch,accuracy,loss,val_accuracy,val_loss
0,0.5600000023841858,0.6821008920669556,0.7524999976158142,0.6025290489196777
1,0.6987500190734863,0.6016046404838562,0.8025000095367432,0.5268439650535583
2,0.7400000095367432,0.5440820455551147,0.6700000166893005,0.5668694376945496
3,0.7537500262260437,0.5223827958106995,0.8100000023841858,0.4484066665172577
4,0.7900000214576721,0.47749605774879456,0.8174999952316284,0.4335792064666748
5,0.784375011920929,0.47104644775390625,0.8349999785423279,0.4332781732082367
6,0.8037499785423279,0.44878950715065,0.8349999785423279,0.4107993245124817
7,0.8100000023841858,0.4564584493637085,0.8274999856948853,0.4145828187465668
8,0.8050000071525574,0.4326448440551758,0.8725000023841858,0.3821655213832855
9,0.8193749785423279,0.43301987648010254,0.8374999761581421,0.4181298017501831
10,0.8381249904632568,0.37671977281570435,0.8525000214576721,0.3875693380832672
11,0.8462499976158142,0.36009830236434937,0.8475000262260437,0.36757364869117737
12,0.8550000190734863,0.3353610634803772,0.8399999737739563,0.4351435899734497
13,0.8487499952316284,0.3562138080596924,0.8299999833106995,0.40459397435188293
14,0.862500011920929,0.33381712436676025,0.8374999761581421,0.42084068059921265
15,0.8693749904632568,0.3234539031982422,0.8575000166893005,0.39788031578063965
16,0.8762500286102295,0.3059626817703247,0.8500000238418579,0.3793877065181732
17,0.8818749785423279,0.31479281187057495,0.8324999809265137,0.39636391401290894
18,0.875,0.2986956536769867,0.8525000214576721,0.43343380093574524
19,0.8818749785423279,0.28298911452293396,0.8274999856948853,0.4098222851753235
20,0.9024999737739563,0.2533493936061859,0.8500000238418579,0.4535723030567169
21,0.9137499928474426,0.24138721823692322,0.8450000286102295,0.4144277274608612
22,0.8981249928474426,0.22077718377113342,0.8399999737739563,0.4199638068675995
23,0.9118750095367432,0.2318991869688034,0.8450000286102295,0.40696072578430176
24,0.918749988079071,0.21076054871082306,0.8550000190734863,0.47648730874061584
25,0.9281250238418579,0.17354650795459747,0.8450000286102295,0.4520494043827057
26,0.9231250286102295,0.1905067414045334,0.8224999904632568,0.572048544883728
27,0.9306250214576721,0.18398946523666382,0.8550000190734863,0.41006210446357727
28,0.9287499785423279,0.18167243897914886,0.7925000190734863,0.5338418483734131
29,0.9325000047683716,0.16917672753334045,0.8224999904632568,0.6478491425514221
30,0.9481250047683716,0.13668005168437958,0.8299999833106995,0.6116167306900024
31,0.9587500095367432,0.11397986114025116,0.824999988079071,0.6203410029411316
32,0.9549999833106995,0.12039542198181152,0.8450000286102295,0.6380822658538818
33,0.953125,0.1201472356915474,0.8224999904632568,0.5162219405174255
34,0.9649999737739563,0.10092353820800781,0.8399999737739563,0.6681391000747681
35,0.9731249809265137,0.0771469995379448,0.7975000143051147,0.956824779510498
36,0.9624999761581421,0.10457371920347214,0.824999988079071,0.7683418989181519
37,0.965624988079071,0.09612620621919632,0.8374999761581421,0.6157055497169495
38,0.9637500047683716,0.08613051474094391,0.8374999761581421,0.6657970547676086
39,0.9668750166893005,0.07552585005760193,0.8324999809265137,0.7301499247550964
